C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.10.2.100 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.101 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.102 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.103 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.104 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.105 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.106 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.107 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.108 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.109 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.110 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.111 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.112 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.113 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.114 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.115 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.116 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.117 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.118 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.119 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.120 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.1 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.2 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.3 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.4 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.5 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.6 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.7 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.8 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.9 238.76663208007812 Good 2022-06-17 10:26:41.861000+00:00
